"","City","Average","Professor","Assoc.Prof","Asst.Prof","Lecter","Number.of.Colleges"
"1","Storrs",104193,140652,95625,77373,74187,1
"2","New Haven",89403.75,110205,79548.75,65553.75,NA,4
"3","New London",86682,98874,76836,69384,NA,3
"4","West Haven",84663,110907,93627,73836,60003,1
"5","Fairfield",84060,113130,85491,70978.5,63783,2
"6","Middletown",83178,106654.5,76032,65061,58495.5,2
"7","Hartford",80273.25,90805.5,NA,NA,67695.75,4
"8","Danbury",78408,92772,71955,61218,51210,1
"9","Hamden",77841,102699,79263,62379,39708,1
"10","New Britain",76617,89910,72387,58544,52344,1
"11","West Hartford",73669.5,90558,74911.5,64728,55363.5,2
"12","Willimantic",72819,86139,69408,56151,48357,1
"13","Waterbury",69462,84784.5,68800.5,NA,57505.5,2
"14","Farmington",67311,78246,58887,50013,51795,1
"15","Manchester",67077,78345,57897,50751,44955,1
"16","Norwalk",66393,73368,60903,50121,44955,1
"17","Winsted",63468,77499,65205,52389,44226,1
"18","Norwich",62460,74916,60975,51201,48042,1
"19","Enfield",62190,80280,57159,48546,45315,1
"20","Danielson",60741,76167,44928,56574,50760,1
"21","Bridgeport",58326,NA,60327,51075,NA,3
"22","Southington",50733,52524,57177,41031,NA,1
"23","Old Lyme",33813,34038,32436,NA,NA,1
"24","Cromwell",29331,32139,38691,40095,10647,1
